split,slice_type,slice_value,sample_count,speed_mps_mean,abs_residual_mean,abs_model_comp_mean,abs_gap_mean,mae_lqr_to_opt,mae_pred_to_opt,improvement_abs,comp_to_residual_ratio_mean
train,speed_bin,"[1.0,4.0) km/h",75995,0.756753939,0.00250308092,0.00139874254,0.00190133311,0.00250308092,0.00190133311,0.000601747813,2.36350487
train,speed_bin,"[4.0,7.0) km/h",47698,1.43406392,0.00143902315,0.00143117976,4.10833468e-05,0.00143902315,4.10833468e-05,0.0013979398,1.04552264
val,speed_bin,"[1.0,4.0) km/h",19321,0.75028859,0.00330848412,0.00143752223,0.00242793266,0.00330848412,0.00242793267,0.000880551455,1.75253413
val,speed_bin,"[4.0,7.0) km/h",12239,1.41896897,0.00137129517,0.00136702887,3.65794822e-05,0.00137129517,3.65794819e-05,0.00133471569,1.02846245
train,roll_slice,"[0,5) deg",123298,1.0194989,0.00209214594,0.00137346983,0.00114300778,0.00209214594,0.00114300778,0.000949138164,1.81807535
train,roll_slice,"[5,15) deg",395,0.529927051,0.00228544562,0.013204477,0.0139767862,0.00228544562,0.0139767862,-0.0116913406,13.465411
val,roll_slice,"[0,5) deg",31560,1.00960352,0.00255724028,0.00141018484,0.00150056348,0.00255724028,0.00150056348,0.00105667681,1.4717384
train,pitch_slice,"[0,5) deg",123693,1.01793551,0.00209276322,0.00141125085,0.00118399104,0.00209276322,0.00118399104,0.000908772184,1.85526984
val,pitch_slice,"[0,5) deg",31560,1.00960352,0.00255724028,0.00141018484,0.00150056348,0.00255724028,0.00150056348,0.00105667681,1.4717384
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg1.csv,1536,0.802128941,0.000416887651,0.000410697776,2.16216701e-05,0.000416887651,2.162167e-05,0.000395265981,1.03208817
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg2.csv,1468,0.800982376,0.000346858446,0.000346871177,1.74543671e-05,0.000346858446,1.74543672e-05,0.000329404079,1.19933577
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg5.csv,1504,0.800496293,0.000378307772,0.00037527093,1.40170726e-05,0.000378307772,1.40170727e-05,0.000364290699,1.07126295
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg6.csv,1511,0.797547901,0.000334367922,0.000331594109,1.51797352e-05,0.000334367922,1.51797354e-05,0.000319188187,1.43872311
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg7.csv,1561,0.797825916,0.000342470011,0.00034124271,1.30292157e-05,0.000342470011,1.30292158e-05,0.000329440795,1.13991221
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg1.csv,1510,0.805828097,0.000396432659,0.00039359781,2.11285198e-05,0.000396432659,2.11285199e-05,0.000375304139,1.10853844
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg2.csv,1519,0.802770296,0.000332404147,0.000332084528,1.78027147e-05,0.000332404147,1.78027146e-05,0.000314601432,1.08133459
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg3.csv,1590,0.805086187,0.000383333529,0.00038152524,1.61043084e-05,0.000383333529,1.61043084e-05,0.000367229221,1.08683539
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg4.csv,1507,0.802873338,0.000359102988,0.00035550896,1.58926687e-05,0.000359102988,1.58926687e-05,0.00034321032,1.10962921
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg5.csv,1515,0.802516846,0.000428525795,0.000426284373,1.56484526e-05,0.000428525795,1.56484528e-05,0.000412877342,1.07277348
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg6.csv,1481,0.800247749,0.000384985671,0.000381286621,1.91182395e-05,0.000384985671,1.91182396e-05,0.000365867432,1.33776996
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg7.csv,1544,0.805018703,0.000489607728,0.000487027485,1.51664883e-05,0.000489607728,1.51664884e-05,0.00047444124,1.0278949
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg1.csv,1508,0.806605422,0.000364405493,0.000361490282,1.8636131e-05,0.000364405493,1.8636131e-05,0.000345769362,1.09030471
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg4.csv,1496,0.802290201,0.000406508552,0.00040666128,1.46223763e-05,0.000406508552,1.46223764e-05,0.000391886175,1.2686983
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg5.csv,1518,0.803779436,0.000348124621,0.000345893046,1.40915927e-05,0.000348124621,1.40915925e-05,0.000334033029,1.0848713
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg6.csv,1523,0.79899941,0.000369256247,0.000365881813,1.71594268e-05,0.000369256247,1.71594268e-05,0.00035209682,1.10938013
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg1.csv,769,1.42486178,0.00127820264,0.00127989611,3.53294544e-05,0.00127820264,3.53294544e-05,0.00124287319,1.00510658
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg2.csv,795,1.46254071,0.00129016045,0.00128320864,2.33270687e-05,0.00129016045,2.33270693e-05,0.00126683339,1.10408898
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg3.csv,802,1.36628982,0.00127557384,0.00128294597,3.19853627e-05,0.00127557384,3.19853627e-05,0.00124358848,1.01101127
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg4.csv,710,1.49267424,0.00146887145,0.00145060486,3.22653133e-05,0.00146887145,3.22653145e-05,0.00143660614,1.02370617
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg5.csv,796,1.37728815,0.00130696595,0.00130435876,3.06952434e-05,0.00130696595,3.06952427e-05,0.0012762707,1.23184261
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg6.csv,719,1.45666342,0.00143852251,0.00143307904,3.66170039e-05,0.00143852251,3.66170036e-05,0.00140190551,0.999205488
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg7.csv,801,1.39351958,0.00162043513,0.00163232374,4.61686206e-05,0.00162043513,4.61686225e-05,0.00157426651,1.00088414
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg1.csv,771,1.39157154,0.00127626311,0.00128233706,4.34620989e-05,0.00127626311,4.34620991e-05,0.00123280101,1.05030549
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg2.csv,864,1.40994815,0.00128180543,0.00127255173,4.13982e-05,0.00128180543,4.13981992e-05,0.00124040724,1.96777881
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg3.csv,803,1.47960489,0.00173564743,0.00171673491,3.57987083e-05,0.00173564743,3.57987066e-05,0.00169984872,1.19259765
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg4.csv,756,1.40704002,0.0014314639,0.00143352429,3.01077789e-05,0.0014314639,3.01077773e-05,0.00140135612,1.02628944
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg6.csv,778,1.41729006,0.00163439255,0.00164247293,4.90087951e-05,0.00163439255,4.90087948e-05,0.00158538375,5.8102263
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg7.csv,748,1.47757782,0.00199655425,0.00198029142,4.24565307e-05,0.00199655425,4.24565307e-05,0.00195409772,0.994570205
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_15\csv_data\Conventional_flatland_no_15_Excellent_Excellent_Seg2.csv,797,1.4925116,0.0016853533,0.00166556162,3.39167596e-05,0.0016853533,3.39167596e-05,0.00165143654,0.994795197
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_15\csv_data\Conventional_flatland_no_15_Excellent_Excellent_Seg3.csv,758,1.52617609,0.00178018226,0.00174828453,4.43446853e-05,0.00178018226,4.43446831e-05,0.00173583758,1.01907879
