epoch,train_loss,val_loss,train_mae,val_mae,lr,train_mae_bin_0,val_mae_bin_0,train_count_bin_0,val_count_bin_0,train_mae_bin_1,val_mae_bin_1,train_count_bin_1,val_count_bin_1,train_mae_bin_2,val_mae_bin_2,train_count_bin_2,val_count_bin_2,train_mae_bin_3,val_mae_bin_3,train_count_bin_3,val_count_bin_3,train_mae_bin_4,val_mae_bin_4,train_count_bin_4,val_count_bin_4,train_mae_bin_5,val_mae_bin_5,train_count_bin_5,val_count_bin_5,train_mae_bin_6,val_mae_bin_6,train_count_bin_6,val_count_bin_6,train_mae_bin_7,val_mae_bin_7,train_count_bin_7,val_count_bin_7
1,0.01154666090973053,0.0036986096566509045,0.0011854414989000365,0.001501957813518307,0.0009997532801828658,,,0,0,0.0019023001585935912,0.002429431548587243,75995,19321,4.330401765614223e-05,3.780877617556401e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
2,0.011552960222970412,0.0036956239807490595,0.0011851169953376805,0.0015018730391976212,0.0009990133642141358,,,0,0,0.0019019942153345089,0.0024295232872922658,75995,19321,4.29499322602389e-05,3.744535295168168e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
3,0.011527715352945245,0.0036980587880312155,0.0011850061639899444,0.001502770191437973,0.00099778098230154,,,0,0,0.0019019685372303604,0.0024306064251081536,75995,19321,4.27034219986442e-05,3.8048903108374704e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
4,0.011588300421839066,0.003699609812200648,0.0011849842737880866,0.0015043000738232451,0.000996057350657239,,,0,0,0.0019020846676505996,0.0024326014654635405,75995,19321,4.246164299919143e-05,3.884446001163453e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
5,0.011577983283904025,0.0036966976700405236,0.0011852048252444275,0.001501657971841732,0.0009938441702975688,,,0,0,0.0019021518045723522,0.002429245150852364,75995,19321,4.292662439129228e-05,3.7329847488978613e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
6,0.011495598191279328,0.003700022511539806,0.0011849495137341908,0.0015037928090077567,0.0009911436253643444,,,0,0,0.0019019199565030436,0.002430069014684327,75995,19321,4.263392351988469e-05,4.1534253467147233e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
7,0.011438490484627027,0.003703836884247924,0.0011847738276688263,0.0015047786508030842,0.0009879583809693736,,,0,0,0.0019018289547960959,0.002431656169460718,75995,19321,4.232331419509639e-05,4.1570830647150696e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
8,0.01143640627057443,0.003696142877896195,0.001184828546396624,0.0015016447113462724,0.0009842915805643154,,,0,0,0.0019020428153508925,0.002429459957706661,75995,19321,4.212448152890202e-05,3.695655431653137e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
9,0.011499421408621497,0.003694437353549223,0.001184870164880295,0.0015009638912685413,0.0009801468428384714,,,0,0,0.001901988121422104,0.0024282984798761954,75995,19321,4.231956441506378e-05,3.703451507224271e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
10,0.011710234482301171,0.0037009961991550234,0.0011846084565569207,0.0015045901395287025,0.0009755282581475767,,,0,0,0.001901608916437328,0.0024336283039672673,75995,19321,4.224505887451796e-05,3.797142519707665e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
11,0.011622445571424162,0.0037004450363948343,0.00118457837112553,0.0015035954881883306,0.0009704403844771127,,,0,0,0.001901739833556205,0.002431060404888254,75995,19321,4.195843951445688e-05,3.946037372471559e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
12,0.01161326550766571,0.0037004682021106374,0.0011848586950737234,0.0015039799507901457,0.0009648882429441257,,,0,0,0.0019018961485069874,0.0024315889556126157,75995,19321,4.243635041045832e-05,3.9617373197883475e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
13,0.011474793317106758,0.0036954125263819683,0.0011848966297121663,0.0015015430711750907,0.0009588773128419905,,,0,0,0.0019019356502780213,0.00242929886406452,75995,19321,4.24717756874054e-05,3.6948769318916324e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
14,0.01152376822511139,0.0037005331847449014,0.0011848512692391353,0.0015039146669146369,0.0009524135262330098,,,0,0,0.0019017391173660658,0.002433649215166609,75995,19321,4.266727915558502e-05,3.6196619712268464e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
15,0.011521594089552436,0.0036967470663452416,0.0011848654101963153,0.0015013544191565767,0.0009455032620941839,,,0,0,0.0019021042866045601,0.002428053543709593,75995,19321,4.2122136971535284e-05,3.842821447689317e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
16,0.011512084252775926,0.00369780372853107,0.0011847396970537044,0.0015019871127197528,0.0009381533400219318,,,0,0,0.0019017700095595971,0.002429437916562889,75995,19321,4.2328726811053676e-05,3.787427965955449e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
17,0.011545371883056793,0.00369826922708407,0.0011848247548046597,0.0015028846685765623,0.0009303710135019719,,,0,0,0.001901945930160334,0.00242973326049907,75995,19321,4.226901306260895e-05,3.97225142346368e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
18,0.011536249633217909,0.0037008070834200885,0.001185042848531894,0.0015039402401396864,0.0009221639627510076,,,0,0,0.0019019747317272427,0.002431399942547369,75995,19321,4.278869131734578e-05,3.9813353486451346e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
19,0.011650068609673225,0.0036947094162301064,0.0011847294817765059,0.001501029520361957,0.000913540287137281,,,0,0,0.001901939837448158,0.00242757084632092,75995,19321,4.2031653302679035e-05,3.8352430130782176e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
20,0.011508677644060158,0.0037011611109936766,0.0011845873149992374,0.0015045587586241414,0.0009045084971874739,,,0,0,0.0019015839563091093,0.0024327355591879803,75995,19321,4.222998801165767e-05,3.92998408101612e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
21,0.011554484648699135,0.0036991733495470346,0.0011846051721917832,0.0015020541600522326,0.0008950775061878453,,,0,0,0.0019017057377289036,0.0024285679454774593,75995,19321,4.208227682528697e-05,3.942054292717931e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
22,0.011504592264233168,0.003695514380600019,0.00118454294534913,0.001500907140891565,0.0008852566213878948,,,0,0,0.0019014951563177545,0.002428559603077831,75995,19321,4.225641129561418e-05,3.647596263341163e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
