split,source_id,sample_count,speed_mps_mean,speed_mps_std,abs_residual_mean,abs_residual_p90,abs_residual_p99,abs_model_comp_mean,abs_model_comp_p90,abs_model_comp_p99,abs_gap_mean,abs_gap_p90,abs_gap_p99,residual_mean,comp_mean
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg1.csv,1536,0.802128941,0.02813672,0.000416888,0.00080673,0.001169391,0.000411256,0.000794418,0.001158113,2.07586256e-05,3.17895319e-05,0.000390458,-0.000134551,-0.000143757
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg2.csv,1468,0.800982376,0.023018524,0.000346858,0.0007294,0.001224183,0.000347249,0.00073437,0.001235949,1.69341294e-05,2.98481435e-05,0.00010539,-1.99E-05,-2.35E-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg4.csv,1546,0.800895144,0.022112424,0.000346925,0.000729504,0.001063063,0.000347317,0.000731871,0.001079497,1.14120768e-05,2.72238103e-05,6.17471524e-05,4.19535043e-05,4.12803822e-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg6.csv,1511,0.797547901,0.024241102,0.000334368,0.000710184,0.001032307,0.000332332,0.000711557,0.001019158,1.47938152e-05,2.81054527e-05,9.35624354e-05,-4.80E-05,-4.73E-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg1.csv,1510,0.805828097,0.029618888,0.000396433,0.000808248,0.001182306,0.000393891,0.000806326,0.001171129,2.04663033e-05,3.56328208e-05,0.000257528,0.000161288,0.000157275
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg2.csv,1519,0.802770296,0.023495297,0.000332404,0.000737117,0.001118769,0.000332065,0.000737117,0.001100415,1.7044021e-05,3.01870517e-05,0.000102191,2.5504194e-06,-1.19E-06
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg3.csv,1590,0.805086187,0.023937847,0.000383334,0.000793872,0.00111492,0.000381622,0.000796192,0.001098361,1.50859818e-05,3.09539959e-05,8.62147566e-05,4.17650371e-05,3.99310282e-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg4.csv,1507,0.802873338,0.02259309,0.000359103,0.000777125,0.001243829,0.000356043,0.000766401,0.001225602,1.52059142e-05,3.15555371e-05,8.75676423e-05,-2.01E-05,-2.38E-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg6.csv,1481,0.800247749,0.025431856,0.000384986,0.000874053,0.001315551,0.000381724,0.000874181,0.00130843,1.81341345e-05,2.98731029e-05,0.000348233,-2.61E-05,-3.20E-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg7.csv,1544,0.805018703,0.021856731,0.000489608,0.001030789,0.001565427,0.000487754,0.001037588,0.00156678,1.42543407e-05,3.21805943e-05,9.34144296e-05,0.000113372,0.000116206
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg1.csv,1508,0.806605422,0.029506401,0.000364405,0.000741354,0.001365496,0.000361459,0.000732887,0.001359477,1.7961689e-05,3.51904891e-05,0.000172243,-6.92E-05,-7.25E-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg3.csv,1494,0.804790031,0.022587922,0.000419186,0.000846158,0.00148681,0.000417983,0.000841187,0.001499886,1.8234363e-05,3.36955069e-05,9.38681839e-05,-9.92E-05,-9.99E-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg5.csv,1518,0.803779436,0.022635996,0.000348125,0.000735076,0.001247784,0.000346048,0.000728573,0.001225547,1.35192397e-05,2.8744468e-05,7.60156874e-05,-8.64E-05,-8.44E-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg6.csv,1523,0.79899941,0.024766929,0.000369256,0.000741108,0.001237629,0.00036675,0.000721754,0.001226444,1.65594139e-05,2.95735896e-05,0.000126132,-1.60E-05,-1.99E-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg1.csv,769,1.42486178,0.047800828,0.001278203,0.002540472,0.003604581,0.001287583,0.002558687,0.003742133,3.58118354e-05,8.68712552e-05,0.000251203,-0.000125565,-0.0001233
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg2.csv,795,1.46254071,0.037719432,0.00129016,0.002528958,0.00392144,0.001293009,0.002551272,0.003962718,2.31889667e-05,6.08886592e-05,0.000143332,0.000622666,0.000623995
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg3.csv,802,1.36628982,0.054449684,0.001275574,0.00283365,0.004540213,0.001290968,0.002822896,0.00486257,3.43096477e-05,8.56949016e-05,0.000230263,0.000286131,0.000289359
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg4.csv,710,1.49267424,0.04161789,0.001468871,0.003080996,0.006199489,0.001463009,0.003070051,0.006100232,2.92795161e-05,6.9861603e-05,0.000201237,0.000270521,0.000268928
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg5.csv,796,1.37728815,0.096080059,0.001306966,0.002619421,0.003644792,0.00131123,0.002623115,0.003676265,3.20855126e-05,7.89994374e-05,0.000217483,-0.000242881,-0.000241718
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg6.csv,719,1.45666342,0.096085036,0.001438523,0.002978924,0.004046171,0.001444414,0.002956136,0.004380483,3.40267391e-05,7.95907341e-05,0.00031729,0.000510548,0.000516707
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg7.csv,801,1.39351958,0.072974948,0.001620435,0.003101834,0.005191376,0.001640394,0.0031483,0.005425178,4.8095998e-05,0.000109964,0.000487193,0.000671023,0.000668947
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg1.csv,771,1.39157154,0.134739874,0.001276263,0.002661747,0.004217447,0.001290084,0.002642907,0.004214006,4.42639593e-05,0.00010917,0.000326421,-0.000112858,-0.000116547
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg2.csv,864,1.40994815,0.146199089,0.001281805,0.002784814,0.004138876,0.001278688,0.002762216,0.004102549,4.24805296e-05,0.000115335,0.000248422,0.00053211,0.000538358
