split,slice_type,slice_value,sample_count,speed_mps_mean,abs_residual_mean,abs_model_comp_mean,abs_gap_mean,mae_lqr_to_opt,mae_pred_to_opt,improvement_abs,comp_to_residual_ratio_mean
train,speed_bin,"[0.0,1.5) km/h",3644,0.350555149,0.0203097879,0.00688770272,0.0182863419,0.0203097879,0.0182863419,0.00202344598,6.88700458
train,speed_bin,"[1.5,4.0) km/h",70815,0.794868607,0.000912905382,0.000932866658,0.000378584369,0.000912905382,0.000378584369,0.000534321013,1.4705604
train,speed_bin,"[4.0,6.0) km/h",47435,1.43274596,0.00143376446,0.00143557424,3.95882314e-05,0.00143376446,3.95882314e-05,0.00139417623,1.06000372
train,speed_bin,"[6.0,10.0) km/h",221,1.70385492,0.00244436077,0.00257176682,0.000205784787,0.00244436077,0.000205784789,0.00223857598,1.00855861
train,speed_bin,"[10.0,+inf) km/h",655,3.45603576,0.00278672498,0.0035281313,0.000760194549,0.00278672498,0.000760194556,0.00202653042,1.52225212
val,speed_bin,"[0.0,1.5) km/h",4025,0.3489295,0.0203900989,0.00647077623,0.0182736711,0.0203900989,0.0182736711,0.00211642786,4.40063129
val,speed_bin,"[1.5,4.0) km/h",16924,0.771708434,0.00210604872,0.00108410156,0.00156633876,0.00210604872,0.00156633876,0.000539709954,1.97963849
val,speed_bin,"[4.0,6.0) km/h",12223,1.4179547,0.00137339498,0.00138583039,5.88983701e-05,0.00137339498,5.88983699e-05,0.00131449661,1.07947906
val,speed_bin,"[6.0,10.0) km/h",369,2.34624362,0.00187120376,0.00152722928,0.000437836662,0.00187120376,0.000437836662,0.0014333671,0.957236938
val,speed_bin,"[10.0,+inf) km/h",650,3.10682942,0.00179371898,0.00215308395,0.000391954647,0.00179371898,0.000391954647,0.00140176433,1.36478122
train,roll_slice,"[0,5) deg",122375,1.04563254,0.0017007502,0.00128192863,0.000737958913,0.0017007502,0.000737958913,0.000962791284,1.43375032
train,roll_slice,"[5,15) deg",395,0.529927051,0.00228628354,0.0133151268,0.014071984,0.00228628354,0.0140719839,-0.0117857004,13.367159
val,roll_slice,"[0,5) deg",34191,1.01435168,0.00398807625,0.00185119669,0.00295974058,0.00398807625,0.00295974059,0.00102833567,1.92011768
train,pitch_slice,"[0,5) deg",122770,1.04397331,0.00170263409,0.00132064422,0.000780859784,0.00170263409,0.000780859784,0.000921774308,1.47214485
val,pitch_slice,"[0,5) deg",34191,1.01435168,0.00398807625,0.00185119669,0.00295974058,0.00398807625,0.00295974059,0.00102833567,1.92011768
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg1.csv,1536,0.802128941,0.000418912112,0.000411431059,2.30320459e-05,0.000418912112,2.30320459e-05,0.000395880066,1.04968082
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg2.csv,1468,0.800982376,0.000349527617,0.000347598524,1.9616663e-05,0.000349527617,1.96166631e-05,0.000329910954,1.20980075
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg4.csv,1546,0.800895144,0.000351158855,0.000347651065,1.71786835e-05,0.000351158855,1.71786835e-05,0.000333980172,1.10215604
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg6.csv,1511,0.797547901,0.00033932433,0.000333024621,2.0479602e-05,0.00033932433,2.04796021e-05,0.000318844728,1.13554882
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg1.csv,1510,0.805828097,0.0004000161,0.000394190733,2.47121882e-05,0.0004000161,2.47121881e-05,0.000375303912,1.04410385
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg2.csv,1519,0.802770296,0.00033363036,0.000332434064,2.03384255e-05,0.00033363036,2.03384254e-05,0.000313291934,1.12044525
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg3.csv,1590,0.805086187,0.000386637003,0.000381920464,2.07489129e-05,0.000386637003,2.07489129e-05,0.00036588809,1.87816273
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg4.csv,1507,0.802873338,0.000365277837,0.000356713948,2.18199225e-05,0.000365277837,2.18199227e-05,0.000343457914,1.08265798
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg6.csv,1481,0.800247749,0.000388706316,0.000382214492,2.30926585e-05,0.000388706316,2.30926587e-05,0.000365613658,1.15128932
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg7.csv,1544,0.805018703,0.000493294934,0.000488280931,1.92516181e-05,0.000493294934,1.9251618e-05,0.000474043316,1.02409207
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg1.csv,1508,0.806605422,0.000369310332,0.000361727352,2.43472354e-05,0.000369310332,2.43472355e-05,0.000344963096,1.08270791
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg3.csv,1494,0.804790031,0.000424870846,0.000418305967,2.57666942e-05,0.000424870846,2.57666943e-05,0.000399104151,1.06267232
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg5.csv,1518,0.803779436,0.000349266669,0.000346226895,1.48039669e-05,0.000349266669,1.48039667e-05,0.000334462702,1.09375349
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg6.csv,1523,0.79899941,0.000371384238,0.000367054405,1.99939993e-05,0.000371384238,1.99939993e-05,0.000351390239,1.06516736
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg1.csv,769,1.42486178,0.00127820856,0.00128758488,3.57419661e-05,0.00127820856,3.57419669e-05,0.00124246659,1.01004358
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg2.csv,795,1.46254071,0.00129011025,0.00129299417,2.31650022e-05,0.00129011025,2.31650021e-05,0.00126694524,1.03364798
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg3.csv,802,1.36628982,0.00127551198,0.00129095562,3.42774021e-05,0.00127551198,3.42774021e-05,0.00124123458,1.01655604
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg4.csv,710,1.49267424,0.00146892033,0.00146302394,2.93070911e-05,0.00146892033,2.93070933e-05,0.00143961324,1.07480628
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg5.csv,796,1.37728815,0.00130771848,0.00131139668,3.18533457e-05,0.00130771848,3.18533453e-05,0.00127586513,1.02892618
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg6.csv,719,1.45666342,0.00143935538,0.0014446132,3.39780056e-05,0.00143935538,3.39780058e-05,0.00140537738,1.00347082
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg7.csv,801,1.39351958,0.00162176307,0.00164062896,4.75252494e-05,0.00162176307,4.7525251e-05,0.00157423782,1.00675528
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg1.csv,771,1.39157154,0.00127805494,0.00129050601,4.29311666e-05,0.00127805494,4.29311666e-05,0.00123512377,1.11917207
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg2.csv,864,1.40994815,0.00128212678,0.0012787553,4.22521489e-05,0.00128212678,4.22521485e-05,0.00123987463,1.3566152
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg3.csv,803,1.47960489,0.00173548186,0.00172966039,3.38459304e-05,0.00173548186,3.3845929e-05,0.00170163593,1.30413131
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg4.csv,756,1.40704002,0.00143130484,0.00144106196,3.06688399e-05,0.00143130484,3.06688385e-05,0.001400636,1.03055573
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg6.csv,778,1.41729006,0.00163480347,0.00165385795,4.97433193e-05,0.00163480347,4.97433185e-05,0.00158506015,3.03367776
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg7.csv,748,1.47757782,0.00199653154,0.00199701728,3.90887614e-05,0.00199653154,3.90887628e-05,0.00195744278,1.01131926
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_15\csv_data\Conventional_flatland_no_15_Excellent_Excellent_Seg2.csv,797,1.4925116,0.00168559139,0.00168002555,3.02742968e-05,0.00168559139,3.02742957e-05,0.00165531709,1.0016576
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_15\csv_data\Conventional_flatland_no_15_Excellent_Excellent_Seg3.csv,758,1.52617609,0.00178010028,0.00176143373,4.07263973e-05,0.00178010028,4.07263969e-05,0.00173937388,1.01350688
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_15\csv_data\Conventional_flatland_no_15_Excellent_Excellent_Seg4.csv,709,1.50782131,0.0016336688,0.00162268734,3.35629936e-05,0.0016336688,3.35629944e-05,0.00160010581,0.992594572
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_15\csv_data\Conventional_flatland_no_15_Excellent_Excellent_Seg7.csv,739,1.47580032,0.00161644659,0.00161187295,3.38889065e-05,0.00161644659,3.38889071e-05,0.00158255768,0.997994433
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_16\csv_data\Conventional_flatland_no_16_Excellent_Excellent_Seg2.csv,707,1.56566063,0.00142675913,0.00140101526,4.25619082e-05,0.00142675913,4.25619083e-05,0.00138419723,0.995126304
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_16\csv_data\Conventional_flatland_no_16_Excellent_Excellent_Seg3.csv,750,1.53310062,0.00165090708,0.00163037195,4.14702461e-05,0.00165090708,4.14702488e-05,0.00160943684,1.0673101
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_16\csv_data\Conventional_flatland_no_16_Excellent_Excellent_Seg4.csv,800,1.44144809,0.00162000569,0.0016236117,4.08818257e-05,0.00162000569,4.08818266e-05,0.00157912387,1.0097127
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_16\csv_data\Conventional_flatland_no_16_Excellent_Excellent_Seg5.csv,698,1.54782116,0.00174288129,0.00171489872,4.61197427e-05,0.00174288129,4.61197423e-05,0.00169676155,0.984850035
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_16\csv_data\Conventional_flatland_no_16_Excellent_Excellent_Seg7.csv,737,1.45796502,0.00168968221,0.0017011646,3.58668335e-05,0.00168968221,3.58668335e-05,0.00165381538,1.00651882
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_17\csv_data\Conventional_flatland_no_17_Excellent_Excellent_Seg1.csv,832,1.42438695,0.00147413214,0.00148718487,6.61582459e-05,0.00147413214,6.61582456e-05,0.00140797389,1.01266911
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_17\csv_data\Conventional_flatland_no_17_Excellent_Excellent_Seg2.csv,790,1.47212163,0.00147052916,0.00147855821,3.4606562e-05,0.00147052916,3.46065628e-05,0.0014359226,1.0007579
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_17\csv_data\Conventional_flatland_no_17_Excellent_Excellent_Seg4.csv,774,1.43241848,0.00157741919,0.00158567597,3.61395072e-05,0.00157741919,3.61395057e-05,0.00154127969,1.06478486
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_17\csv_data\Conventional_flatland_no_17_Excellent_Excellent_Seg5.csv,758,1.50446618,0.0016605629,0.00162695757,5.77123848e-05,0.0016605629,5.77123843e-05,0.00160285051,1.18938449
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_17\csv_data\Conventional_flatland_no_17_Excellent_Excellent_Seg7.csv,728,1.50826497,0.00161061248,0.00159528642,5.74540902e-05,0.00161061248,5.74540903e-05,0.00155315839,1.03869284
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_18\csv_data\Conventional_flatland_no_18_Excellent_Excellent_Seg2.csv,808,1.42646965,0.00133128825,0.00133653567,2.99391437e-05,0.00133128825,2.99391443e-05,0.0013013491,1.00540518
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_18\csv_data\Conventional_flatland_no_18_Excellent_Excellent_Seg3.csv,852,1.4105938,0.00133641797,0.00134502998,3.4781884e-05,0.00133641797,3.47818844e-05,0.00130163608,1.04651532
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_18\csv_data\Conventional_flatland_no_18_Excellent_Excellent_Seg4.csv,787,1.47823671,0.00138795624,0.00138183908,3.23724768e-05,0.00138795624,3.23724783e-05,0.00135558376,1.01177332
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_18\csv_data\Conventional_flatland_no_18_Excellent_Excellent_Seg5.csv,843,1.42316507,0.00155429171,0.00157741708,9.4550035e-05,0.00155429171,9.45500345e-05,0.00145974168,1.04087444
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_18\csv_data\Conventional_flatland_no_18_Excellent_Excellent_Seg6.csv,731,1.44407806,0.00158945167,0.00159166673,3.74265431e-05,0.00158945167,3.74265418e-05,0.00155202512,1.00952527
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_18\csv_data\Conventional_flatland_no_18_Excellent_Excellent_Seg7.csv,735,1.45533077,0.00145596561,0.00146034633,2.88316656e-05,0.00145596561,2.8831666e-05,0.00142713395,1.00611356
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg1.csv,722,1.41221287,0.00113894408,0.00114447329,4.12855627e-05,0.00113894408,4.12855636e-05,0.00109765851,1.00979718
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg3.csv,818,1.44810108,0.00125381995,0.00125779354,2.98175728e-05,0.00125381995,2.98175731e-05,0.00122400237,1.00419121
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg4.csv,700,1.52043316,0.00160800985,0.00159791488,3.46961406e-05,0.00160800985,3.46961413e-05,0.00157331371,1.00061352
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg5.csv,821,1.41943242,0.0011630911,0.0011853514,5.21173726e-05,0.0011630911,5.21173734e-05,0.00111097373,1.21662189
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg6.csv,734,1.46730175,0.0017065983,0.00170339047,3.62723915e-05,0.0017065983,3.62723928e-05,0.00167032591,1.00558123
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg7.csv,948,1.24608551,0.0013046981,0.00133311662,6.9537728e-05,0.0013046981,6.95377277e-05,0.00123516038,1.04207238
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_1\csv_data\Conventional_flatland_no_1_Excellent_Excellent_Seg3.csv,770,1.44749569,0.00144084825,0.00144587153,2.90017111e-05,0.00144084825,2.90017106e-05,0.00141184654,1.00900985
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_1\csv_data\Conventional_flatland_no_1_Excellent_Excellent_Seg4.csv,866,1.30366928,0.00114947867,0.00116875123,4.35271445e-05,0.00114947867,4.35271451e-05,0.00110595153,1.07436173
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_1\csv_data\Conventional_flatland_no_1_Excellent_Excellent_Seg5.csv,768,1.49108122,0.00123976483,0.001236197,3.62373148e-05,0.00123976483,3.62373145e-05,0.00120352751,1.02041322
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_1\csv_data\Conventional_flatland_no_1_Excellent_Excellent_Seg7.csv,803,1.41173386,0.00175578534,0.00176736427,5.38784409e-05,0.00175578534,5.38784407e-05,0.0017019069,1.01583621
