split,source_id,sample_count,speed_mps_mean,speed_mps_std,abs_residual_mean,abs_residual_p90,abs_residual_p99,abs_model_comp_mean,abs_model_comp_p90,abs_model_comp_p99,abs_gap_mean,abs_gap_p90,abs_gap_p99,residual_mean,comp_mean
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg1.csv,1536,0.802128941,0.0281367201,0.000418912112,0.000810386962,0.00117051678,0.000411431059,0.000794145046,0.0011581168,2.30320459e-05,3.24719585e-05,0.000553560536,-0.000133281874,-0.000143665043
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg2.csv,1468,0.800982376,0.0230185242,0.000349527617,0.000737898471,0.00124189535,0.000347598524,0.00073447295,0.00123568527,1.9616663e-05,3.06356698e-05,0.000365614663,-2.29116689e-05,-2.35992031e-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg4.csv,1546,0.800895144,0.022112424,0.000351158855,0.000733362627,0.00107638538,0.000347651065,0.00073193782,0.00107956971,1.71786835e-05,2.898206e-05,0.000267014286,4.29410987e-05,4.13283134e-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_10\csv_data\Conventional_flatland_no_10_Excellent_Excellent_Seg6.csv,1511,0.797547901,0.0242411021,0.00033932433,0.000724262791,0.00107474709,0.000333024621,0.000714912079,0.00103090345,2.0479602e-05,3.05697322e-05,0.000409809942,-5.32805844e-05,-4.74157415e-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg1.csv,1510,0.805828097,0.029618888,0.0004000161,0.000812215044,0.00120912976,0.000394190733,0.000806732429,0.0011828917,2.47121882e-05,3.7485105e-05,0.000493110116,0.000165832139,0.00015750959
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg2.csv,1519,0.802770296,0.0234952966,0.00033363036,0.000745774992,0.00115151916,0.000332434064,0.000737495674,0.00110040358,2.03384255e-05,3.1657517e-05,0.000292681064,2.66917925e-06,-1.13166668e-06
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg3.csv,1590,0.805086187,0.0239378466,0.000386637003,0.000799853355,0.00112903411,0.000381920464,0.000796188484,0.00109817241,2.07489129e-05,3.27225309e-05,0.000309218743,4.21860438e-05,4.01263997e-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg4.csv,1507,0.802873338,0.0225930902,0.000365277837,0.000785786938,0.00129737203,0.000356713948,0.00076761758,0.0012256207,2.18199225e-05,3.36114317e-05,0.00050504803,-2.40890699e-05,-2.3884605e-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg6.csv,1481,0.800247749,0.025431856,0.000388706316,0.000883127097,0.00132991257,0.000382214492,0.000874427613,0.00130812824,2.30926585e-05,3.2197684e-05,0.000576089183,-2.48261208e-05,-3.18624993e-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_11\csv_data\Conventional_flatland_no_11_Excellent_Excellent_Seg7.csv,1544,0.805018703,0.0218567313,0.000493294934,0.0010366121,0.00165090297,0.000488280931,0.0010373754,0.00156784102,1.92516181e-05,3.30273062e-05,0.000148283867,0.000111681958,0.00011598371
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg1.csv,1508,0.806605422,0.0295064014,0.000369310332,0.000748742511,0.0013652012,0.000361727352,0.000732847955,0.00135923994,2.43472354e-05,3.87704698e-05,0.000532972072,-6.38955046e-05,-7.24120361e-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg3.csv,1494,0.804790031,0.0225879223,0.000424870846,0.000849804608,0.00159550452,0.000418305967,0.000841081841,0.00149963317,2.57666942e-05,3.55747994e-05,0.000693053007,-0.000100172388,-9.9644385e-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg5.csv,1518,0.803779436,0.0226359957,0.000349266669,0.000737913663,0.00126424875,0.000346226895,0.000728517771,0.00122639822,1.48039669e-05,2.93341232e-05,0.000100234934,-8.77305244e-05,-8.45610275e-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_12\csv_data\Conventional_flatland_no_12_Excellent_Excellent_Seg6.csv,1523,0.79899941,0.0247669291,0.000371384238,0.000751676131,0.00124219948,0.000367054405,0.000722844154,0.00122661713,1.99939993e-05,3.04224901e-05,0.000485565299,-1.74808248e-05,-1.99084326e-05
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg1.csv,769,1.42486178,0.0478008279,0.00127820856,0.00253952644,0.00360470752,0.00128758488,0.00255844612,0.00374320595,3.57419661e-05,8.60283151e-05,0.000250946581,-0.000125587281,-0.000123304198
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg2.csv,795,1.46254071,0.0377194318,0.00129011025,0.00252994793,0.00391554231,0.00129299417,0.00255146045,0.0039638963,2.31650022e-05,6.05532899e-05,0.000143557573,0.000622737625,0.000624016344
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg3.csv,802,1.36628982,0.0544496844,0.00127551198,0.00283670812,0.00454312153,0.00129095562,0.00282269034,0.00486060854,3.42774021e-05,8.61408189e-05,0.000223514475,0.000286087623,0.000289349865
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg4.csv,710,1.49267424,0.04161789,0.00146892033,0.00307876235,0.00620851306,0.00146302394,0.00306858728,0.00610271796,2.93070911e-05,6.89813402e-05,0.00020285842,0.000270528204,0.000268933276
train,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_13\csv_data\Conventional_flatland_no_13_Excellent_Excellent_Seg5.csv,796,1.37728815,0.0960800592,0.00130771848,0.00261747791,0.00364252238,0.00131139668,0.00262262451,0.0036768697,3.18533457e-05,7.93442596e-05,0.000219252659,-0.000242871365,-0.000241781836
